    1.00e-2 -1.0565524245016875E-002 8.6529538164486849E-005 4.2079797868953897E-003 1.2780522256378317E-004 -1.4773504030371171E-002 9.3394708970072368E-005 -1.5591224885264361E-002 9.4923402651913845E-005
    1.02e-2 -1.0657357602441736E-002 8.5696609264363015E-005 4.4682330368973431E-003 1.2438142846197072E-004 -1.5125590623473895E-002 9.4391590151477015E-005 -1.6081333651498352E-002 9.7011876725568673E-005
    1.07e-2 -1.0824700912352660E-002 8.3693116774566741E-005 4.7125340427657597E-003 1.2184253211462840E-004 -1.5537234870835472E-002 9.0323355183836955E-005 -1.6512604059969262E-002 9.3861892887994866E-005
    1.12e-2 -1.0906461207432086E-002 8.7159441012057910E-005 5.1637335393659662E-003 1.2450416234970716E-004 -1.6070194731932344E-002 9.4042171493305117E-005 -1.7180591896975888E-002 9.6832616130927796E-005
    1.17e-2 -1.1165311215709085E-002 1.0725385119042119E-004 5.4063808967837771E-003 1.5729234836726021E-004 -1.6571691957090916E-002 1.1617837054869099E-004 -1.7811418013090892E-002 1.1760835889955228E-004
    1.22e-2 -1.1186681038932137E-002 9.5383481213436128E-005 5.5620174651869808E-003 1.4018970948769536E-004 -1.6748698498887670E-002 1.0140529034397046E-004 -1.8039441592324811E-002 1.0258298928373593E-004
    1.28e-2 -1.1531882190140973E-002 9.5138028232418407E-005 5.9432800795612417E-003 1.3464331160338181E-004 -1.7475162164018451E-002 9.8231014311993527E-005 -1.8837119281394140E-002 1.0079360701433468E-004
    1.34e-2 -1.1564978849140027E-002 1.0471732796749417E-004 6.2998900745857844E-003 1.4363364532706021E-004 -1.7864868943490125E-002 1.0077147904176700E-004 -1.9399323915018692E-002 1.0319479932843299E-004
    1.40e-2 -1.2032548414109162E-002 1.0007352118553047E-004 6.4733902049200357E-003 1.4031771765153021E-004 -1.8505938609431054E-002 1.0445722230663319E-004 -2.0104839386981023E-002 1.0361450799686491E-004
    1.47e-2 -1.2105525464971574E-002 1.2695033449867704E-004 7.2336567110404763E-003 1.7470368429469034E-004 -1.9339182058948860E-002 1.2446843601381891E-004 -2.1100896984375023E-002 1.2355905780646987E-004
    1.54e-2 -1.2253551331778596E-002 1.1074659407951202E-004 7.5753432905381760E-003 1.5636548207014373E-004 -1.9828894792362887E-002 1.1749342585346049E-004 -2.1756969918503368E-002 1.1319958306542560E-004
    1.61e-2 -1.2422467719169654E-002 1.1302627309715757E-004 8.0032312867555026E-003 1.5967011302370148E-004 -2.0425698948231687E-002 1.1309926686779199E-004 -2.2471653037416744E-002 1.1276203810067140E-004
    1.70e-2 -1.2232865827744766E-002 3.3062338862924955E-004 9.1002639452306411E-003 3.4945928760144292E-004 -2.1333129896975930E-002 1.2133556690625361E-004 -2.3614432587391081E-002 1.1769430886564653E-004
    1.78e-2 -1.2728881277425877E-002 1.3052698218738934E-004 8.9978695823159493E-003 1.8145059494600012E-004 -2.1726750923986661E-002 1.3071373763620664E-004 -2.4171731289283693E-002 1.2574495462367328E-004
    1.86e-2 -1.2867264329245927E-002 1.3740159511893698E-004 9.6591781581423786E-003 1.9091069560348787E-004 -2.2526442561057982E-002 1.3501849679020090E-004 -2.5168823305571159E-002 1.2871137810303244E-004
    1.95e-2 -1.2671842945602569E-002 1.5488836402979724E-004 1.0535328610609752E-002 2.2538887423865741E-004 -2.3207171508895234E-002 1.5925236068729668E-004 -2.6205808406743199E-002 1.4845015586912656E-004
    2.04e-2 -1.3108498211081510E-002 1.3658529836827854E-004 1.0686338385904675E-002 1.9371098828795038E-004 -2.3794836670220382E-002 1.3560116538658871E-004 -2.6923001178882557E-002 1.2413557846939312E-004
    2.14e-2 -1.3030398654095358E-002 1.4530841040192517E-004 1.1593096679610450E-002 1.9989355898951514E-004 -2.4623495419784678E-002 1.4127503891505586E-004 -2.7875098487954823E-002 1.2877128556374457E-004
    2.24e-2 -1.3012086848723745E-002 1.4822640804287347E-004 1.2222548276044602E-002 2.0476901357221046E-004 -2.5234635059969247E-002 1.4365817187084596E-004 -2.8793361691440231E-002 1.3156115134599944E-004
    2.35e-2 -1.2866625858633119E-002 1.8507371532763294E-004 1.3771065933906446E-002 2.5738973510818267E-004 -2.6637691685611486E-002 1.7385794002722617E-004 -3.0275898956834472E-002 1.5876534933071337E-004
    2.46e-2 -1.2892912642504629E-002 1.8136417889316251E-004 1.4309636159975330E-002 2.3920241828281346E-004 -2.7202548881554611E-002 1.6554032926911256E-004 -3.1279889759407750E-002 1.4957911434624447E-004
    2.58e-2 -1.3138930060468389E-002 1.7529692576287139E-004 1.4876499286122457E-002 2.4161714744559617E-004 -2.8015429343397201E-002 1.6957831606074792E-004 -3.2353741393905205E-002 1.4930708121709403E-004
    2.70e-2 -1.2707740657478244E-002 1.7371775316872914E-004 1.6291434864072776E-002 2.3811167983605767E-004 -2.8999175661814470E-002 1.6514130740992615E-004 -3.3496983946694002E-002 1.4572662798926844E-004
    2.83e-2 -1.2877240945718921E-002 1.9209296014777324E-004 1.7001100050465765E-002 2.5448105980234231E-004 -2.9878341030931531E-002 1.7603483640615467E-004 -3.4928877260274063E-002 1.5017279464598303E-004
    2.97e-2 -1.2294891602603806E-002 1.8911640916925308E-004 1.8446036531578690E-002 2.5958522765409518E-004 -3.0740928132547436E-002 1.7545609877590089E-004 -3.6114251460789323E-002 1.5303968595848765E-004
    3.11e-2 -1.2611130959927148E-002 2.0812163995124363E-004 1.8752090949305494E-002 2.8333050393309766E-004 -3.1363221928853734E-002 1.9141829384865101E-004 -3.7465569937888181E-002 1.5835551532572832E-004
