eps_dd,omega
1.3739775735948179,1.4437611827517072
1.380993804744812,1.4786203277376682
1.3821631766031444,1.6664304437842858
1.382907322331174,1.743738494358484
1.3841830007220821,1.6016808251278456
1.3880100358948062,1.506820926679155
1.3870532771016253,1.6693564976124837
1.3950262670448006,1.5368374927236803
1.4020424981947948,1.546071324144544
1.409058729344789,1.5462253200502158
1.4154371212993293,1.7479560078674106
1.4161240250482798,1.5533169074412707
1.4163938800925102,1.992096180953399
1.4163938800925102,1.9432668432939224
1.4163938800925102,1.894437505634446
1.4172230710466005,1.8260707863946377
1.4163938800925102,1.685803062907592
1.4163938800925102,1.6369737252481156
1.4199019956675074,1.7568036649402048
1.4230911916447775,1.54592798949388
1.4301074227947717,1.5478979525025904
1.437123653944766,1.5569300098008945
1.4441398850947602,1.568786904815036
1.4511561162447544,1.5998123414723602
1.4581723473947488,1.63588213119368
1.465188578544743,1.6695306314442822
1.472204809694737,1.7100394518619177
1.4792210408447315,1.7448985968478787
1.4862372719947257,1.778143548853361
1.4932535031447198,1.8109849526137238
1.5002697342947142,1.8260702335888226
1.5072859654447084,1.837927128602964
