eps_dd,omega
1.37013487475915,1.39473438424259
1.37244701348748,1.3624495387138
1.37398843930636,1.34361930656593
1.37784200385356,1.30596921991262
1.37938342967245,1.28983198596943
1.38208092485549,1.25485933105717
1.38516377649326,1.21181287035211
1.38631984585742,1.19297744938305
1.38824662813102,1.14722242400971
1.3897880539499,1.12300619545252
1.39210019267823,1.05301937505838
1.39441233140655,1.02612052593892
1.40327552986513,0.948142920891232
1.40597302504817,0.929328255206983
1.40982658959538,0.894371166758337
1.41329479768786,0.859408889488487
1.41753371868979,0.82984298627038
1.42177263969172,0.786812092028933
1.42562620423892,0.738390012556948
1.42947976878613,0.700739925903634
1.43410404624277,0.665793215097395
1.43757225433526,0.644295928850884
1.44373795761079,0.593211984101453
1.447591522158,0.56633389026681
1.45183044315992,0.542153983458038
1.45838150289017,0.496461223939146
1.46030828516378,0.483022177021825
1.46724470134875,0.448106599142807
1.47418111753372,0.423963014082462
1.47919075144509,0.389021492097426
1.47957610789981,0.386333682713962
